STATION,STATION_NAME,DATE,TMAX,TMIN,TOBS
GHCND:USC00451496,CLEARWATER WA US,19000825,194,100,-9999
GHCND:USC00451496,CLEARWATER WA US,19000826,194,61,-9999
GHCND:USC00451496,CLEARWATER WA US,19000827,206,94,-9999
GHCND:USC00451496,CLEARWATER WA US,19000828,228,139,-9999
GHCND:USC00451496,CLEARWATER WA US,19000829,211,67,-9999
GHCND:USC00451496,CLEARWATER WA US,19000830,206,67,-9999
GHCND:USC00451496,CLEARWATER WA US,19000831,222,117,-9999
GHCND:USC00451496,CLEARWATER WA US,19000901,194,94,-9999
GHCND:USC00451496,CLEARWATER WA US,19000902,233,67,-9999
GHCND:USC00451496,CLEARWATER WA US,19000903,200,83,-9999
GHCND:USC00451496,CLEARWATER WA US,19000904,217,100,-9999
GHCND:USC00451496,CLEARWATER WA US,19000905,211,89,-9999
GHCND:USC00451496,CLEARWATER WA US,19000906,211,72,-9999
GHCND:USC00451496,CLEARWATER WA US,19000907,183,111,-9999
GHCND:USC00451496,CLEARWATER WA US,19000908,200,117,-9999
GHCND:USC00451496,CLEARWATER WA US,19000909,183,106,-9999
GHCND:USC00451496,CLEARWATER WA US,19000910,222,56,-9999
GHCND:USC00451496,CLEARWATER WA US,19000911,244,67,-9999
GHCND:USC00451496,CLEARWATER WA US,19000912,222,72,-9999
GHCND:USC00451496,CLEARWATER WA US,19000913,183,83,-9999
GHCND:USC00451496,CLEARWATER WA US,19000914,167,44,-9999
GHCND:USC00451496,CLEARWATER WA US,19000915,178,78,-9999
GHCND:USC00451496,CLEARWATER WA US,19000916,194,106,-9999
GHCND:USC00451496,CLEARWATER WA US,19000917,172,56,-9999
GHCND:USC00451496,CLEARWATER WA US,19000918,189,22,-9999
GHCND:USC00451496,CLEARWATER WA US,19000919,150,44,-9999
GHCND:USC00451496,CLEARWATER WA US,19000920,183,106,-9999
GHCND:USC00451496,CLEARWATER WA US,19000921,200,122,-9999
GHCND:USC00451496,CLEARWATER WA US,19000922,178,106,-9999
GHCND:USC00451496,CLEARWATER WA US,19000923,161,106,-9999
GHCND:USC00451496,CLEARWATER WA US,19000924,194,56,-9999
GHCND:USC00451496,CLEARWATER WA US,19000925,172,17,-9999
GHCND:USC00451496,CLEARWATER WA US,19000926,183,17,-9999
GHCND:USC00451496,CLEARWATER WA US,19000927,189,22,-9999
GHCND:USC00451496,CLEARWATER WA US,19000928,161,94,-9999
GHCND:USC00451496,CLEARWATER WA US,19000929,156,39,-9999
GHCND:USC00451496,CLEARWATER WA US,19000930,150,17,-9999
GHCND:USC00451496,CLEARWATER WA US,19001001,156,17,-9999
GHCND:USC00451496,CLEARWATER WA US,19001002,172,6,-9999
GHCND:USC00451496,CLEARWATER WA US,19001003,189,28,-9999
GHCND:USC00451496,CLEARWATER WA US,19001004,178,33,-9999
GHCND:USC00451496,CLEARWATER WA US,19001005,139,22,-9999
GHCND:USC00451496,CLEARWATER WA US,19001006,139,44,-9999
GHCND:USC00451496,CLEARWATER WA US,19001007,189,28,-9999
GHCND:USC00451496,CLEARWATER WA US,19001008,189,28,-9999
GHCND:USC00451496,CLEARWATER WA US,19001009,133,33,-9999
GHCND:USC00451496,CLEARWATER WA US,19001010,139,67,-9999
GHCND:USC00451496,CLEARWATER WA US,19001011,150,50,-9999
GHCND:USC00451496,CLEARWATER WA US,19001012,161,33,-9999
GHCND:USC00451496,CLEARWATER WA US,19001013,128,100,-9999
GHCND:USC00451496,CLEARWATER WA US,19001014,150,122,-9999
GHCND:USC00451496,CLEARWATER WA US,19001015,167,111,-9999
GHCND:USC00451496,CLEARWATER WA US,19001016,183,72,-9999
GHCND:USC00451496,CLEARWATER WA US,19001017,156,111,-9999
GHCND:USC00451496,CLEARWATER WA US,19001018,139,111,-9999
GHCND:USC00451496,CLEARWATER WA US,19001019,139,83,-9999
GHCND:USC00451496,CLEARWATER WA US,19001020,111,72,-9999
GHCND:USC00451496,CLEARWATER WA US,19001021,133,106,-9999
GHCND:USC00451496,CLEARWATER WA US,19001022,117,44,-9999
GHCND:USC00451496,CLEARWATER WA US,19001023,89,33,-9999
GHCND:USC00451496,CLEARWATER WA US,19001024,72,22,-9999
GHCND:USC00451496,CLEARWATER WA US,19001025,111,61,-9999
GHCND:USC00451496,CLEARWATER WA US,19001026,117,33,-9999
GHCND:USC00451496,CLEARWATER WA US,19001027,106,39,-9999
GHCND:USC00451496,CLEARWATER WA US,19001028,94,39,-9999
GHCND:USC00451496,CLEARWATER WA US,19001029,106,39,-9999
GHCND:USC00451496,CLEARWATER WA US,19001030,100,72,-9999
GHCND:USC00451496,CLEARWATER WA US,19001031,111,56,-9999
GHCND:USC00451496,CLEARWATER WA US,19001101,100,44,-9999
GHCND:USC00451496,CLEARWATER WA US,19001102,106,61,-9999
GHCND:USC00451496,CLEARWATER WA US,19001103,106,17,-9999
GHCND:USC00451496,CLEARWATER WA US,19001104,83,-17,-9999
GHCND:USC00451496,CLEARWATER WA US,19001105,94,-17,-9999
GHCND:USC00451496,CLEARWATER WA US,19001106,117,72,-9999
GHCND:USC00451496,CLEARWATER WA US,19001107,133,28,-9999
GHCND:USC00451496,CLEARWATER WA US,19001108,111,56,-9999
GHCND:USC00451496,CLEARWATER WA US,19001109,106,-11,-9999
GHCND:USC00451496,CLEARWATER WA US,19001110,106,-6,-9999
GHCND:USC00451496,CLEARWATER WA US,19001111,106,0,-9999
GHCND:USC00451496,CLEARWATER WA US,19001112,133,50,-9999
GHCND:USC00451496,CLEARWATER WA US,19001113,117,17,-9999
GHCND:USC00451496,CLEARWATER WA US,19001114,117,28,-9999
GHCND:USC00451496,CLEARWATER WA US,19001115,133,61,-9999
GHCND:USC00451496,CLEARWATER WA US,19001116,111,89,-9999
GHCND:USC00451496,CLEARWATER WA US,19001117,106,6,-9999
GHCND:USC00451496,CLEARWATER WA US,19001118,44,0,-9999
GHCND:USC00451496,CLEARWATER WA US,19001119,11,-28,-9999
GHCND:USC00451496,CLEARWATER WA US,19001120,6,-56,-9999
GHCND:USC00451496,CLEARWATER WA US,19001121,11,-56,-9999
